1|ACT|Bayside & Eastern Suburbs|AU
2|ACT|Bayside & South Eastern Suburbs|AU
3|ACT|CBD & Inner Suburbs|AU
4|ACT|CBD, Inner & Western Suburbs|AU
5|ACT|CBD, Inner West & Eastern Suburbs|AU
6|ACT|Eastern Suburbs|AU
7|ACT|Fremantle & Southern Suburbs|AU
8|ACT|North Shore & Northern Beaches|AU
9|ACT|North West & Hills District|AU
10|ACT|Northern Suburbs|AU
11|ACT|Northern Suburbs & Joondalup|AU
12|ACT|Parramatta & Western Suburbs|AU
13|ACT||AU
14|ACT|Ryde & Macquarie Park|AU
15|ACT|South West & M5 Corridor|AU
16|ACT|Southern Suburbs & Logan|AU
17|ACT|Southern Suburbs & Sutherland Shire|AU
18|ACT|Western Suburbs|AU
19|ACT|Western Suburbs & Ipswich|AU
20|ACT||AU
21|Adelaide|Bayside & Eastern Suburbs|AU
22|Adelaide|Bayside & South Eastern Suburbs|AU
23|Adelaide|CBD & Inner Suburbs|AU
24|Adelaide|CBD, Inner & Western Suburbs|AU
25|Adelaide|CBD, Inner West & Eastern Suburbs|AU
26|Adelaide|Eastern Suburbs|AU
27|Adelaide|Fremantle & Southern Suburbs|AU
28|Adelaide|North Shore & Northern Beaches|AU
29|Adelaide|North West & Hills District|AU
30|Adelaide|Northern Suburbs|AU
31|Adelaide|Northern Suburbs & Joondalup|AU
32|Adelaide|Parramatta & Western Suburbs|AU
33|Adelaide||AU
34|Adelaide|Ryde & Macquarie Park|AU
35|Adelaide|South West & M5 Corridor|AU
36|Adelaide|Southern Suburbs & Logan|AU
37|Adelaide|Southern Suburbs & Sutherland Shire|AU
38|Adelaide|Western Suburbs|AU
39|Adelaide|Western Suburbs & Ipswich|AU
40|Adelaide||AU
41|Adelaide Hills & Barossa|Bayside & Eastern Suburbs|AU
42|Adelaide Hills & Barossa|Bayside & South Eastern Suburbs|AU
43|Adelaide Hills & Barossa|CBD & Inner Suburbs|AU
44|Adelaide Hills & Barossa|CBD, Inner & Western Suburbs|AU
45|Adelaide Hills & Barossa|CBD, Inner West & Eastern Suburbs|AU
46|Adelaide Hills & Barossa|Eastern Suburbs|AU
47|Adelaide Hills & Barossa|Fremantle & Southern Suburbs|AU
48|Adelaide Hills & Barossa|North Shore & Northern Beaches|AU
49|Adelaide Hills & Barossa|North West & Hills District|AU
50|Adelaide Hills & Barossa|Northern Suburbs|AU
51|Adelaide Hills & Barossa|Northern Suburbs & Joondalup|AU
52|Adelaide Hills & Barossa|Parramatta & Western Suburbs|AU
53|Adelaide Hills & Barossa||AU
54|Adelaide Hills & Barossa|Ryde & Macquarie Park|AU
55|Adelaide Hills & Barossa|South West & M5 Corridor|AU
56|Adelaide Hills & Barossa|Southern Suburbs & Logan|AU
57|Adelaide Hills & Barossa|Southern Suburbs & Sutherland Shire|AU
58|Adelaide Hills & Barossa|Western Suburbs|AU
59|Adelaide Hills & Barossa|Western Suburbs & Ipswich|AU
60|Adelaide Hills & Barossa||AU
61|Albany & Great Southern|Bayside & Eastern Suburbs|AU
62|Albany & Great Southern|Bayside & South Eastern Suburbs|AU
63|Albany & Great Southern|CBD & Inner Suburbs|AU
64|Albany & Great Southern|CBD, Inner & Western Suburbs|AU
65|Albany & Great Southern|CBD, Inner West & Eastern Suburbs|AU
66|Albany & Great Southern|Eastern Suburbs|AU
67|Albany & Great Southern|Fremantle & Southern Suburbs|AU
68|Albany & Great Southern|North Shore & Northern Beaches|AU
69|Albany & Great Southern|North West & Hills District|AU
70|Albany & Great Southern|Northern Suburbs|AU
71|Albany & Great Southern|Northern Suburbs & Joondalup|AU
72|Albany & Great Southern|Parramatta & Western Suburbs|AU
73|Albany & Great Southern||AU
74|Albany & Great Southern|Ryde & Macquarie Park|AU
75|Albany & Great Southern|South West & M5 Corridor|AU
76|Albany & Great Southern|Southern Suburbs & Logan|AU
77|Albany & Great Southern|Southern Suburbs & Sutherland Shire|AU
78|Albany & Great Southern|Western Suburbs|AU
79|Albany & Great Southern|Western Suburbs & Ipswich|AU
80|Albany & Great Southern||AU
81|Albury Wodonga & Murray|Bayside & Eastern Suburbs|AU
82|Albury Wodonga & Murray|Bayside & South Eastern Suburbs|AU
83|Albury Wodonga & Murray|CBD & Inner Suburbs|AU
84|Albury Wodonga & Murray|CBD, Inner & Western Suburbs|AU
85|Albury Wodonga & Murray|CBD, Inner West & Eastern Suburbs|AU
86|Albury Wodonga & Murray|Eastern Suburbs|AU
87|Albury Wodonga & Murray|Fremantle & Southern Suburbs|AU
88|Albury Wodonga & Murray|North Shore & Northern Beaches|AU
89|Albury Wodonga & Murray|North West & Hills District|AU
90|Albury Wodonga & Murray|Northern Suburbs|AU
91|Albury Wodonga & Murray|Northern Suburbs & Joondalup|AU
92|Albury Wodonga & Murray|Parramatta & Western Suburbs|AU
93|Albury Wodonga & Murray||AU
94|Albury Wodonga & Murray|Ryde & Macquarie Park|AU
95|Albury Wodonga & Murray|South West & M5 Corridor|AU
96|Albury Wodonga & Murray|Southern Suburbs & Logan|AU
97|Albury Wodonga & Murray|Southern Suburbs & Sutherland Shire|AU
98|Albury Wodonga & Murray|Western Suburbs|AU
99|Albury Wodonga & Murray|Western Suburbs & Ipswich|AU
100|Albury Wodonga & Murray||AU
101|Alice Springs & Central Australia|Bayside & Eastern Suburbs|AU
102|Alice Springs & Central Australia|Bayside & South Eastern Suburbs|AU
103|Alice Springs & Central Australia|CBD & Inner Suburbs|AU
104|Alice Springs & Central Australia|CBD, Inner & Western Suburbs|AU
105|Alice Springs & Central Australia|CBD, Inner West & Eastern Suburbs|AU
